# pid=107462 startedAt=2026-08-26T14:40:56.936692271Z
epoch	vmrss_kb	vmsize_kb	rssanon_kb	heap_virt_kb	heap_rss_kb	threads	est_tcp
1787757290	81992	250956	67840	35840	26856	13	3000
1787757305	82428	250956	68276	35840	26856	13	3000
1787757320	82224	250956	68072	35840	26856	13	3000
1787757335	82236	250956	68084	35840	26856	13	3000
1787757350	82212	250956	68060	35840	26856	13	3000
1787757365	81940	250956	67788	35840	26856	13	3000
1787757380	81960	250956	67808	35840	26856	13	3000
1787757396	81876	250956	67724	35840	26856	13	3000
1787757411	81692	250956	67540	35840	26852	13	3000
1787757426	81716	250956	67564	35840	26852	13	3000
1787757441	81724	250956	67572	35840	26852	13	3000
1787757456	81724	250956	67572	35840	26852	13	3000
1787757471	81800	250956	67648	35840	26852	13	3000
1787757486	81888	250956	67736	35840	26852	13	3000
1787757501	81828	250956	67676	35840	26852	13	3000
1787757516	81460	250956	67308	35840	26976	13	2090
1787757531	34008	250956	19856	35840	7720	13	0
1787757546	27908	250956	13756	35840	3912	13	0
1787757561	27904	250956	13752	35840	3908	13	0
1787757576	27904	250956	13752	35840	3908	13	0
1787757591	27904	250956	13752	35840	3908	13	0
1787757606	27904	250956	13752	35840	3908	13	0
1787757621	27904	250956	13752	35840	3908	13	0
1787757636	27904	250956	13752	35840	3908	13	0
1787757651	27904	250956	13752	35840	3908	13	0
1787757666	27904	250956	13752	35840	3908	13	0
1787757681	27904	250956	13752	35840	3908	13	0
1787757696	27904	250956	13752	35840	3908	13	0
1787757711	27904	250956	13752	35840	3908	13	0
1787757726	27904	250956	13752	35840	3908	13	0
1787757741	27904	250956	13752	35840	3908	13	0
1787757756	27904	250956	13752	35840	3908	13	0
1787757771	27904	250956	13752	35840	3908	13	0
1787757786	27904	250956	13752	35840	3908	13	0
1787757801	27904	250956	13752	35840	3908	13	0
1787757816	27904	250956	13752	35840	3908	13	0
1787757831	27904	250956	13752	35840	3908	13	0
1787757846	27904	250956	13752	35840	3908	13	0
1787757861	27904	250956	13752	35840	3908	13	0
1787757876	27904	250956	13752	35840	3908	13	0
1787757891	27904	250956	13752	35840	3908	13	0
1787757906	27904	250956	13752	35840	3908	13	0
1787757921	27904	250956	13752	35840	3908	13	0
1787757936	27904	250956	13752	35840	3908	13	0
1787757951	27904	250956	13752	35840	3908	13	0
1787757966	27904	250956	13752	35840	3908	13	0
1787757981	27904	250956	13752	35840	3908	13	0
1787757996	27904	250956	13752	35840	3908	13	0
1787758011	27904	250956	13752	35840	3908	13	0
1787758026	27904	250956	13752	35840	3908	13	0
1787758042	27904	250956	13752	35840	3908	13	0
1787758057	27904	250956	13752	35840	3908	13	0
1787758072	27904	250956	13752	35840	3908	13	0
1787758087	27904	250956	13752	35840	3908	13	0
1787758102	27904	250956	13752	35840	3908	13	0
1787758117	27904	250956	13752	35840	3908	13	0
1787758132	27904	250956	13752	35840	3908	13	0
1787758147	27904	250956	13752	35840	3908	13	0
1787758162	27904	250956	13752	35840	3908	13	0
1787758177	27904	250956	13752	35840	3908	13	0
1787758192	27904	250956	13752	35840	3908	13	0
1787758207	27904	250956	13752	35840	3908	13	0
1787758222	27904	250956	13752	35840	3908	13	0
1787758237	27904	250956	13752	35840	3908	13	0
1787758252	27904	250956	13752	35840	3908	13	0
1787758267	27904	250956	13752	35840	3908	13	0
1787758282	27904	250956	13752	35840	3908	13	0
1787758297	27904	250956	13752	35840	3908	13	0
1787758312	27904	250956	13752	35840	3908	13	0
1787758327	27904	250956	13752	35840	3908	13	0
1787758342	27904	250956	13752	35840	3908	13	0
1787758357	27904	250956	13752	35840	3908	13	0
1787758372	27904	250956	13752	35840	3908	13	0
1787758387	27904	250956	13752	35840	3908	13	0
1787758402	27904	250956	13752	35840	3908	13	0
1787758417	27904	250956	13752	35840	3908	13	0
1787758432	27904	250956	13752	35840	3908	13	0
1787758447	27904	250956	13752	35840	3908	13	0
1787758462	27904	250956	13752	35840	3908	13	0
1787758477	27904	250956	13752	35840	3908	13	0
