# pid=132981 startedAt=2026-08-28T09:17:14.084738896Z
epoch	vmrss_kb	vmsize_kb	rssanon_kb	heap_virt_kb	heap_rss_kb	threads	est_tcp
1787910689	128296	289868	114148	35840	32596	13	5250
1787910704	128020	289868	113872	35840	32364	13	5250
1787910720	128192	289868	114044	35840	32372	13	5250
1787910735	128276	289868	114128	35840	32440	13	5250
1787910750	128248	289868	114100	35840	32384	13	5250
1787910765	128020	289868	113872	35840	32280	13	5250
1787910780	128324	289868	114176	35840	32436	13	5250
1787910795	128192	289868	114044	35840	32436	13	5250
1787910810	128308	289868	114168	35840	32436	13	5250
1787910825	127968	289868	113820	35840	32172	13	5250
1787910840	128524	289868	114376	35840	32388	13	5250
1787910855	128404	289868	114256	35840	32308	13	5250
1787910870	128536	289868	114388	35840	32396	13	5250
1787910885	128428	289868	114280	35840	32416	13	5250
1787910900	128492	289868	114344	35840	32420	13	5250
1787910915	128388	289868	114244	35840	32400	13	5250
1787910930	128468	289868	114320	35840	32400	13	5250
1787910945	128092	289868	113944	35840	32192	13	5250
1787910961	128312	289868	114164	35840	32336	13	5250
1787910976	128388	289868	114240	35840	32352	13	5250
1787910991	128512	289868	114368	35840	32360	13	5250
1787911006	128420	289868	114272	35840	32432	13	5250
1787911021	128192	289868	114044	35840	32248	13	5250
1787911036	128532	289868	114384	35840	32480	13	5250
1787911051	128440	289868	114292	35840	32476	13	5250
1787911066	128176	289868	114028	35840	32400	13	5250
1787911081	128380	289868	114232	35840	32408	13	5250
1787911096	128460	289868	114312	35840	32420	13	5250
1787911111	128456	289868	114308	35840	32296	13	5250
1787911126	128456	289868	114308	35840	32260	13	5250
1787911141	128376	289868	114228	35840	32256	13	5250
1787911156	128360	289868	114212	35840	32256	13	5250
1787911171	128280	289868	114132	35840	32256	13	5250
1787911186	128472	289868	114324	35840	32224	13	5250
1787911202	128604	289868	114456	35840	32292	13	5250
1787911217	128356	289868	114208	35840	32268	13	5250
1787911232	128908	289868	114760	35840	32412	13	5250
1787911247	128600	289868	114452	35840	32280	13	5250
1787911262	128472	289868	114324	35840	32348	13	5250
1787911277	128068	289868	113920	35840	32020	13	5250
1787911292	128112	289868	113964	35840	32040	13	5250
1787911307	127932	289868	113784	35840	32116	13	5250
1787911322	128108	289868	113960	35840	32196	13	5250
1787911337	128188	289868	114040	35840	32208	13	5250
1787911352	128180	289868	114032	35840	32208	13	5250
1787911367	128236	289868	114088	35840	32228	13	5250
1787911382	128216	289868	114068	35840	32220	13	5250
1787911397	128364	289868	114216	35840	32300	13	5250
1787911412	128348	289868	114200	35840	32456	13	5250
1787911427	128400	289868	114252	35840	32652	13	5250
1787911443	128528	289868	114380	35840	32648	13	5250
1787911458	128272	289868	114124	35840	32380	13	5250
1787911473	128492	289868	114344	35840	32380	13	5250
1787911488	128532	289868	114384	35840	32376	13	5250
1787911503	128212	289868	114064	35840	32264	13	5250
1787911518	128264	289868	114116	35840	32276	13	5250
1787911533	128120	289868	113972	35840	32272	13	5250
1787911548	128380	289868	114232	35840	32364	13	5250
1787911563	128108	289868	113960	35840	32412	13	5250
1787911578	128176	289868	114028	35840	32412	13	5250
1787911593	128216	289868	114068	35840	32416	13	5250
1787911608	128156	289868	114008	35840	32424	13	5250
1787911623	128104	289868	113956	35840	32496	13	5250
1787911638	128116	289868	113968	35840	32428	13	5250
1787911653	128344	289868	114196	35840	32524	13	5250
1787911668	128208	289868	114060	35840	32660	13	5250
1787911684	128416	289868	114268	35840	32724	13	5250
1787911699	128804	289868	114656	35840	32724	13	5250
1787911714	128552	289868	114404	35840	32480	13	5250
1787911729	128464	289868	114316	35840	32480	13	5250
1787911744	128520	289868	114372	35840	32480	13	5250
1787911759	128484	289868	114336	35840	32340	13	5250
1787911774	128332	289868	114184	35840	32432	13	5250
1787911789	128732	289868	114584	35840	32504	13	5250
1787911804	128704	289868	114556	35840	32504	13	5250
1787911819	128764	289868	114616	35840	32504	13	5250
1787911834	128608	289868	114460	35840	32508	13	5250
1787911849	128564	289868	114416	35840	32508	13	5250
1787911864	128552	289868	114404	35840	32496	13	5250
1787911879	128600	289868	114452	35840	32496	13	5250
1787911894	128464	289868	114316	35840	32428	13	5250
1787911909	128712	289868	114564	35840	32428	13	5250
1787911924	128240	289868	114092	35840	32380	13	5250
1787911939	128328	289868	114180	35840	32380	13	5250
1787911955	128532	289868	114384	35840	32380	13	5250
1787911970	128500	289868	114352	35840	32380	13	5250
1787911985	128404	289868	114256	35840	32396	13	5250
1787912000	128436	289868	114288	35840	32396	13	5250
1787912015	128420	289868	114272	35840	32380	13	5250
1787912030	128420	289868	114272	35840	32456	13	5250
1787912045	128456	289868	114308	35840	32500	13	5250
1787912060	128896	289868	114748	35840	32716	13	5250
1787912075	128916	289868	114768	35840	32704	13	5250
1787912090	128728	289868	114580	35840	32680	13	5250
1787912105	128392	289868	114244	35840	32340	13	5250
1787912120	128500	289868	114352	35840	32424	13	5250
1787912135	128184	289868	114036	35840	32388	13	5250
1787912150	128428	289868	114284	35840	32484	13	5250
1787912165	128316	289868	114168	35840	32452	13	5250
1787912180	128308	289868	114160	35840	32436	13	5250
1787912195	128332	289868	114184	35840	32488	13	5250
1787912211	128400	289868	114252	35840	32472	13	5250
1787912226	127972	289868	113824	35840	32472	13	5250
1787912241	128092	289868	113944	35840	32476	13	5250
1787912256	128080	289868	113932	35840	32476	13	5250
1787912271	128444	289868	114296	35840	32592	13	5250
1787912286	127940	289868	113792	35840	32292	13	5250
1787912301	128440	289868	114292	35840	32452	13	5250
1787912316	128256	289868	114112	35840	32364	13	5250
1787912331	128356	289868	114208	35840	32440	13	5250
1787912346	128208	289868	114060	35840	32328	13	5250
1787912361	128328	289868	114180	35840	32328	13	5250
1787912376	128172	289868	114024	35840	32296	13	5250
1787912391	128436	289868	114288	35840	32492	13	5250
1787912406	128540	289868	114392	35840	32508	13	5250
1787912421	128500	289868	114352	35840	32364	13	5250
1787912436	128432	289868	114284	35840	32384	13	5250
1787912452	128084	289868	113936	35840	32388	13	5250
1787912467	128116	289868	113968	35840	32360	13	5250
1787912482	128196	289868	114048	35840	32380	13	5250
1787912497	128124	289868	113976	35840	32280	13	5250
1787912512	128328	289868	114180	35840	32356	13	5250
1787912527	128108	289868	113960	35840	32332	13	5250
1787912542	128452	289868	114304	35840	32540	13	5250
1787912557	128312	289868	114164	35840	32592	13	5250
